골	표면지	골심지1	중심지	골심지2	이면지	표면원지가	골심1원지가	중심원지가	골심2원지가	이면원지가	원재료비	원재료비+10%Loss	가공비	단   가	비   고	원지종류	평량 (g/㎡)	톤당금액	원지단가
A	K180			S120	S120	86.4			94.08	58.8	239.28	263.208	6	269.208		SK180	180	580000	104.4
A	K180			K180	K180	86.4			138.24	86.4	311.04	342.144	6	348.144		백180	180	740000	133.2
A	SK180			KT160	KT160	104.4			128	80	312.4	343.64	6	349.64		황180	180	580000	104.4
A	SK180			K180	K180	104.4			138.24	86.4	329.04	361.944	6	367.944		황210	210	630000	132.3
A	SK180			K180	K180	104.4			138.24	86.4	329.04	361.944	6	367.944		SK210	210	640000	134.4
A	SK180			CK180	K180	104.4			161.28	86.4	352.08	387.288	6	393.288		KLB175	175	680000	119
A	KLB175			S120	K180	119			94.08	86.4	299.48	329.428	6	335.428		KLB225	225	680000	153
A	KLB175			S120	K180	119			94.08	86.4	299.48	329.428	6	335.428		KLB300	300	820000	246
A	KLB175			KT160	K180	119			128	86.4	333.4	366.74	6	372.74		SC220	220	890000	195.8
A	KLB175			KT160	KT160	119			128	80	327	359.7	6	365.7		SC240	240	890000	213.6
A	KLB175			K180	K180	119			138.24	86.4	343.64	378.004	6	384.004		홍220	220	640000	140.8
A	KLB175			CK180	K180	119			161.28	86.4	366.68	403.348	6	409.348		S110	110	500000	55
A	S120			K180	K180	58.8			138.24	86.4	283.44	311.784	6	317.784		S120	120	490000	58.8
A	백180			B150	K180	133.2			120	86.4	339.6	373.56	6	379.56		B150	150	500000	75
A	백180			KT160	B150	133.2			128	75	336.2	369.82	6	375.82		KT160	160	500000	80
A	백180			KT160	K180	133.2			128	86.4	347.6	382.36	6	388.36		CK180	180	560000	100.8
A	백180			K180	K180	133.2			138.24	86.4	357.84	393.624	6	399.624		K180	180	480000	86.4
A	백180			CK180	K180	133.2			161.28	86.4	380.88	418.968	6	424.968		K250	250	480000	120
B	K180	K180			K180	86.4	120.96			86.4	293.76	323.136	6	329.136		K200	200	480000	96
B	SK180	K180			K180	104.4	120.96			86.4	311.76	342.936	6	348.936					0
B	KLB175	K180			KLB175	119	120.96			119	358.96	394.856	6	400.856					0
B	K180	CK180			K180	86.4	141.12			86.4	313.92	345.312	6	351.312					0
B	KLB175	Ck180			K180	119	141.12			86.4	346.52	381.172	6	387.172					0
B	KLB175	K180			k180	119	120.96			86.4	326.36	358.996	6	364.996					0
B	KLB175	KT160			KT160	119	112			80	311	342.1	6	348.1					0
B	KLB175	S120			K180	119	82.32			86.4	287.72	316.492	6	322.492					0
B	SK180	CK180			k180	104.4	141.12			86.4	331.92	365.112	6	371.112					0
B	KLB225	CK180			홍220	153	141.12			140.8	434.92	478.412	6	484.412					
B	SC220	K250			SK210	195.8	168			134.4	498.2	548.02	6	554.02					
B	백180	K180			K180	133.2	120.96			86.4	340.56	374.616	6	380.616					
B	백180	CK180			K180	133.2	141.12			86.4	360.72	396.792	6	402.792					
E	SK180	S120			K180	104.4	76.44			86.4	267.24	293.964	6	299.964					
E	SK180	B150			K180	104.4	97.5			86.4	288.3	317.13	6	323.13					
E	SK180	K180			K180	104.4	112.32			86.4	303.12	333.432	6	339.432					
E	SK180	KT160			KT160	104.4	104			80	288.4	317.24	6	323.24					
E	SK180	CK180			K180	104.4	131.04			86.4	321.84	354.024	6	360.024					
E	KLB175	S120			K180	119	76.44			86.4	281.84	310.024	6	316.024					
E	KLB175	B150			K180	119	97.5			86.4	302.9	333.19	6	339.19					
E	KLB175	K180			K180	119	112.32			86.4	317.72	349.492	6	355.492					
E	KLB175	KT160			KT160	119	104			80	303	333.3	6	339.3					
E	KLB175	CK180			K180	119	131.04			86.4	336.44	370.084	6	376.084					
E	S120	K180			K180	58.8	120.96			86.4	266.16	292.776	6	298.776					
E	KLB175	K180			KLB175	119	120.96			119	358.96	394.856	6	400.856					
E	백180	S120			k180	133.2	82.32			86.4	301.92	332.112	6	338.112					
E	백180	CK180			K180	133.2	141.12			86.4	360.72	396.792	6	402.792					
AB	백180	S120	S120	S120	K180	133.2	82.32	58.8	94.08	86.4	454.8	500.28	23	523.28					
AB	황180	CK180	K180	CK180	K180	104.4	141.12	86.4	161.28	86.4	579.6	637.56	23	660.56					
AB	SK180	S110	S110	S110	K180	104.4	77	55	88	86.4	410.8	451.88	23	474.88					
AB	SK180	S120	S120	K180	SK180	104.4	82.32	58.8	138.24	104.4	488.16	536.976	23	559.976					
AB	SK180	S120	S120	S120	B150	104.4	82.32	58.8	94.08	75	414.6	456.06	23	479.06					
AB	SK180	K180	K180	K180	K180	104.4	120.96	86.4	138.24	86.4	536.4	590.04	23	613.04					
AB	SK180	K180	K180	K180	K180	104.4	120.96	86.4	138.24	86.4	536.4	590.04	23	613.04					
AB	SK180	S120	K180	S120	K180	104.4	82.32	86.4	94.08	86.4	453.6	498.96	23	521.96					
AB	SK180	KT160	S120	KT160	KT160	104.4	112	58.8	128	80	483.2	531.52	23	554.52					
AB	KLB175	S120	S120	S120	K180	119	82.32	58.8	94.08	86.4	440.6	484.66	23	507.66					
AB	KLB175	S120	S120	S120	K180	119	82.32	58.8	94.08	86.4	440.6	484.66	23	507.66					
AB	KLB175	S120	S120	B150	K180	119	82.32	58.8	120	86.4	466.52	513.172	23	536.172					
AB	KLB175	S120	S120	K180	K180	119	82.32	58.8	138.24	86.4	484.76	533.236	23	556.236					
AB	KLB175	K180	K180	K180	k180	119	120.96	86.4	138.24	86.4	551	606.1	23	629.1					
AB	KLB175	CK180	K180	CK180	K180	119	141.12	86.4	161.28	86.4	594.2	653.62	23	676.62					
